001 anilocita -> anirlocita :  CORRECTION(B), MW=WILTAB
039 kAlanamiripu -> kAlanemiripu :  CORRECTION(B), MW=WILTAB
040 kAlamaSikA -> kAlameSikA :  CORRECTION(B), MW=WILTAB
041 kAzWadra -> kAzWadru :  CORRECTION(B), MW=WILTAB
042 kuNkamAruRa -> kuNkumAruRa :  CORRECTION(B), MW=WILTAB
043 kumadinI -> kumudinI :  CORRECTION(B), MW=WILTAB
044 kUlamadruja -> kUlamudruja :  CORRECTION(B), MW=WILTAB
045 kfSAnuratas -> kfSAnuretas :  CORRECTION(B), MW=WILTAB
046 kalikIrRa -> kelikIrRa :  CORRECTION(B), MW=WILTAB
047 kaSAvamarzaRa -> keSAvamarzaRa :  CORRECTION(B), MW=WILTAB
048 kowiSam -> kowiSas :  CORRECTION(B), MW=WILTAB
049 kAwISa -> kowISa :  CORRECTION(B), MW=WILTAB
050 kzatatejam -> kzatatejas :  CORRECTION(B), MW=WILTAB
051 kzavaTa -> kzavaTu :  CORRECTION(B), MW=WILTAB
052 kzat -> kzut :  CORRECTION(B), MW=WILTAB
053 KaRqaSam -> KaRqaSas :  CORRECTION(B), MW=WILTAB
054 KaraRam -> KaraRas :  CORRECTION(B), MW=WILTAB
055 KalanI -> KastanI :  CORRECTION(B), MW=KelanI
056 garBapAzaRa -> garBapozaRa :  CORRECTION(B), MW=WILTAB
057 gANgawaya -> gANgaweya :  CORRECTION(B), MW=WILTAB
058 guRAnaroDa -> guRAnuroDa :  CORRECTION(B), MW=WILTAB
059 gfhApakaraRa -> gfhopakaraRa :  CORRECTION(B), MW=WILTAB
060 goDamasamBava -> goDUmasamBava :  CORRECTION(B), MW=WILTAB
061 gopawA -> gopuwA :  CORRECTION(B), MW=WILTAB
062 gopawika -> gopuwika :  CORRECTION(B), MW=WILTAB
063 GarRana -> GUrRana :  CORRECTION(B), MW=WILTAB
064 cAracakzum -> cAracakzus :  CORRECTION(B), MW=WILTAB
065 citramena -> citrasena :  CORRECTION(B), MW=WILTAB
066 ciraRqI -> ciraRwI :  CORRECTION(B), MW=WILTAB
067 jalamarpiRI -> jalasarpiRI :  CORRECTION(B), MW=WILTAB
068 jYAnadapaRa -> jYAnadarpaRa :  CORRECTION(B), MW=WILTAB
069 titira -> tittira :  CORRECTION(B), MW=titiru
070 tejam -> tejas :  CORRECTION(B), MW=WILTAB
071 daRqadAma -> daRqadAsa :  CORRECTION(B), MW=WILTAB
072 datvA -> dattvA :  CORRECTION(B), MW=WILTAB
073 daSanavAsam -> daSanavAsas :  CORRECTION(B), MW=WILTAB
074 dIGakIla -> dIrGakIla :  CORRECTION(B), MW=WILTAB
075 dIGajaNGa -> dIrGajaNGa :  CORRECTION(B), MW=WILTAB
076 dIGAyuDa -> dIrGAyuDa :  CORRECTION(B), MW=WILTAB
077 dfQaniSvaya -> dfQaniScaya :  CORRECTION(B), MW=WILTAB
078 davayoni -> devayoni :  CORRECTION(B), MW=WILTAB
079 dowulyamAna -> dodulyamAna :  CORRECTION(B), MW=WILTAB
080 dom -> dos :  CORRECTION(B), MW=WILTAB
081 dAhalavatI -> dohalavatI :  CORRECTION(B), MW=WILTAB
082 dyatakara -> dyUtakara :  CORRECTION(B), MW=WILTAB
083 dyatakAra -> dyUtakAra :  CORRECTION(B), MW=WILTAB
084 dvijamevaka -> dvijasevaka :  CORRECTION(B), MW=WILTAB
085 DanacCa -> DanacCU :  CORRECTION(B), MW=WILTAB
086 DapANga -> DUpANga :  CORRECTION(B), MW=WILTAB
087 DamapraBA -> DUmapraBA :  CORRECTION(B), MW=WILTAB
088 nijuhnuzu -> nijuhnUzu :  CORRECTION(B), MW=WILTAB
089 nigranTa -> nirgranTa :  CORRECTION(B), MW=WILTAB
090 nivyapekza -> nirvyapekza :  CORRECTION(B), MW=WILTAB
091 nIlaBiRwI -> nIlaJiRwI :  CORRECTION(B), MW=WILTAB
092 nazaDa -> nEzaDa :  CORRECTION(B), MW=WILTAB
093 noDam -> noDas :  CORRECTION(B), MW=WILTAB
094 nyanatA -> nyUnatA :  CORRECTION(B), MW=WILTAB
095 pAzata -> pArzata :  CORRECTION(B), MW=WILTAB
096 piRqagoma -> piRqagosa :  CORRECTION(B), MW=WILTAB
097 puMSvalI -> puMScalI :  CORRECTION(B), MW=WILTAB
098 pupazat -> pupUzat :  CORRECTION(B), MW=WILTAB
099 pEYjaza -> pEYjUza :  CORRECTION(B), MW=WILTAB
100 pratipAwuka -> pratipAduka :  CORRECTION(B), MW=WILTAB
101 praTIyam -> praTIyas :  CORRECTION(B), MW=WILTAB
102 pradaSaka -> pradarSaka :  CORRECTION(B), MW=WILTAB
103 prAwurBAva -> prAdurBAva :  CORRECTION(B), MW=WILTAB
104 prAwuzkfta -> prAduzkfta :  CORRECTION(B), MW=WILTAB
105 prAntawurga -> prAntadurga :  CORRECTION(B), MW=WILTAB
106 prAyaSvitta -> prAyaScitta :  CORRECTION(B), MW=WILTAB
107 bahuwugDa -> bahudugDa :  CORRECTION(B), MW=WILTAB
108 bahuwugDikA -> bahudugDikA :  CORRECTION(B), MW=WILTAB
109 budDimahAya -> budDisahAya :  CORRECTION(B), MW=WILTAB
110 BImasana -> BImasena :  CORRECTION(B), MW=WILTAB
111 BatagaRa -> BUtagaRa :  CORRECTION(B), MW=WILTAB
112 Bazayitavya -> BUzayitavya :  CORRECTION(B), MW=WILTAB
113 majjazA -> majjUzA :  CORRECTION(B), MW=WILTAB
114 madfka -> mawwaka :  CORRECTION(B), MW=sadfka
115 madAtkawa -> madotkawa :  CORRECTION(B), MW=WILTAB
116 mahIyam -> mahIyas :  CORRECTION(B), MW=sahIyas
117 miw -> mid :  CORRECTION(B), MW=siw
118 mUtraSakra -> mUtraSukra :  CORRECTION(B), MW=WILTAB
119 meqf -> meq :  CORRECTION(B), MW=WILTAB
120 maDa -> meDa :  CORRECTION(B), MW=saDa
121 yajYaBami -> yajYaBUmi :  CORRECTION(B), MW=WILTAB
122 yawu -> yadu :  CORRECTION(B), MW=WILTAB
123 yawunATa -> yadunATa :  CORRECTION(B), MW=WILTAB
124 yATATika -> yATArTika :  CORRECTION(B), MW=WILTAB
125 yAni -> yoni :  CORRECTION(B), MW=WILTAB
126 rasAtpatti -> rasotpatti :  CORRECTION(B), MW=WILTAB
127 rAgacURa -> rAgacUrRa :  CORRECTION(B), MW=WILTAB
128 vatra -> vanra :  CORRECTION(B), MW=vartra
129 vaRajyezWa -> varRajyezWa :  CORRECTION(B), MW=WILTAB
130 vazaka -> varzaka :  CORRECTION(B), MW=WILTAB
131 vArikaRqaka -> vArikaRwaka :  CORRECTION(B), MW=WILTAB
132 vArdDazi -> vArdDuzi :  CORRECTION(B), MW=WILTAB
133 vikzapa -> vikzepa :  CORRECTION(B), MW=WILTAB
134 vijYaya -> vijYeya :  CORRECTION(B), MW=WILTAB
135 viprawuzwa -> vipraduzwa :  CORRECTION(B), MW=WILTAB
136 viprawuzwaBAva -> vipraduzwaBAva :  CORRECTION(B), MW=WILTAB
137 vipraluspaka -> vipralumpaka :  CORRECTION(B), MW=WILTAB
138 viprAzita -> viprozita :  CORRECTION(B), MW=WILTAB
139 vivacanIya -> vivecanIya :  CORRECTION(B), MW=WILTAB
140 viSvaretam -> viSvaretas :  CORRECTION(B), MW=WILTAB
141 vizwaraSravam -> vizwaraSravas :  CORRECTION(B), MW=WILTAB
142 vihAyam -> vihAyas :  CORRECTION(B), MW=WILTAB
143 vaRi -> veRi :  CORRECTION(B), MW=varRi
144 vakaNkata -> vEkaNkata :  CORRECTION(B), MW=WILTAB
145 vakAlika -> vEkAlika :  CORRECTION(B), MW=WILTAB
146 vArava -> vorava :  CORRECTION(B), MW=WILTAB
147 SataGAra -> SataDAra :  CORRECTION(B), MW=SataGora
148 SAkarIya -> SArkarIya :  CORRECTION(B), MW=WILTAB
149 SuklawugDa -> SukladugDa :  CORRECTION(B), MW=WILTAB
150 SuSravas -> SuSruvas :  CORRECTION(B), MW=WILTAB
151 SarIyaka -> SErIyaka :  CORRECTION(B), MW=WILTAB
152 saMhaza -> saMharza :  CORRECTION(B), MW=WILTAB
153 saDim -> saDis :  CORRECTION(B), MW=WILTAB
154 sanABaka -> sanAmaka :  CORRECTION(B), MW=sunABaka
155 samawuHKa -> samaduHKa :  CORRECTION(B), MW=WILTAB
156 samantawugDA -> samantadugDA :  CORRECTION(B), MW=WILTAB
157 sarpasatrin -> sarpasattrin :  CORRECTION(B), MW=WILTAB
158 savAsam -> savAsas :  CORRECTION(B), MW=WILTAB
159 sucirAyum -> sucirAyus :  CORRECTION(B), MW=WILTAB
160 sUkzmakzikA -> sUkzmamakzikA :  CORRECTION(B), MW=sUkzmekzikA
161 hatOjam -> hatOjas :  CORRECTION(B), MW=WILTAB
162 hemawugDa -> hemadugDa :  CORRECTION(B), MW=WILTAB
163 hemawugDaka -> hemadugDaka :  CORRECTION(B), MW=WILTAB
