02 001 akarkkaSa != akakkaSa: CORRECTION(A), MW=akarkaSa
02 055 ArTika != ATika: CORRECTION(A), MW=WILTAB
02 056 ArdratA != AdratA: CORRECTION(A), MW=WILTAB
02 057 Ardranayana != Adranayana: CORRECTION(A), MW=WILTAB
02 058 AryyarUpa != AyyarUpa: CORRECTION(A), MW=AryarUpa
02 059 AvaraRaSakti != AbaraRaSakti: CORRECTION(A), MW=*
02 060 AveSika != AvaSika: CORRECTION(A), MW=WILTAB
02 061 ASleza != ASlaza: CORRECTION(A), MW=WILTAB
02 062 AhnikAcAra != AhrikAcAra: CORRECTION(A), MW=WILTAB
02 063 iwcara != iwvara: CORRECTION(A), MW=WILTAB
02 064 indukamala != indakamala: CORRECTION(A), MW=WILTAB
02 065 indujA != indajA: CORRECTION(A), MW=WILTAB
02 066 indradru != indradDu: CORRECTION(A), MW=WILTAB
02 067 irA != igA: CORRECTION(A), MW=WILTAB
02 068 Irzyaka != IrzyaMka: CORRECTION(A), MW=WILTAB
02 069 uttamarRa != uttamarRaM: CORRECTION(A), MW=WILTAB
02 070 unmArgagAmin != unmArgaMgAmin: CORRECTION(A), MW=WILTAB
02 071 upacArakaraRa != upacArakaraRaM: CORRECTION(A), MW=*
02 072 upasarjana != upasarjanaM: CORRECTION(A), MW=*
02 073 karRaveDa != karRaMveDa: CORRECTION(A), MW=*
02 074 kartra != kartraM: CORRECTION(A), MW=*
02 075 kulaBftyA != kulaMBftyA: CORRECTION(A), MW=*
02 076 kfzRasarpa != kfzRasarpaM: CORRECTION(A), MW=*
02 077 keSapaNkti != keSapaMNkti: CORRECTION(A), MW=*
02 078 kORqinya != kORqinyaM: CORRECTION(A), MW=*
02 079 kzudraSIrza != kzudraSIrzaM: CORRECTION(A), MW=*
02 080 cAndraka != cAndrakaM: CORRECTION(A), MW=*
02 081 duzpraDarzaRI != duzpraDarzaMRI: CORRECTION(A), MW=*
02 082 nirGaRwa != nirGaMRwa: CORRECTION(A), MW=*
02 083 nUtanatva != nUtanatvaM: CORRECTION(A), MW=*
02 084 pOnaHpunya != pOnaHpunyaM: CORRECTION(A), MW=*
02 085 mAkanda != mAMkanda: CORRECTION(A), MW=*
02 086 varutra != varutraM: CORRECTION(A), MW=*
02 087 huqukka != huqukkaM: CORRECTION(A), MW=*
