001 akakkaSa -> akarkkaSa :  CORRECTION(A), MW=akarkaSa
054 Arttijya -> Artvijya :  CORRECTION(A), MW=WILTAB
055 ATika -> ArTika :  CORRECTION(A), MW=WILTAB
056 AdratA -> ArdratA :  CORRECTION(A), MW=WILTAB
057 Adranayana -> Ardranayana :  CORRECTION(A), MW=WILTAB
058 AyyarUpa -> AryyarUpa :  CORRECTION(A), MW=AryarUpa
059 AbaraRaSakti -> AvaraRaSakti :  CORRECTION(A), MW=*
060 AvaSika -> AveSika :  CORRECTION(A), MW=WILTAB
061 ASlaza -> ASleza :  CORRECTION(A), MW=WILTAB
062 AhrikAcAra -> AhnikAcAra :  CORRECTION(A), MW=WILTAB
063 iwvara -> iwcara :  CORRECTION(A), MW=WILTAB
064 indakamala -> indukamala :  CORRECTION(A), MW=WILTAB
065 indajA -> indujA :  CORRECTION(A), MW=WILTAB
066 indradDu -> indradru :  CORRECTION(A), MW=WILTAB
067 igA -> irA :  CORRECTION(A), MW=WILTAB
068 IrzyaMka -> Irzyaka :  CORRECTION(A), MW=WILTAB
069 uttamarRaM -> uttamarRa :  CORRECTION(A), MW=WILTAB
070 unmArgaMgAmin -> unmArgagAmin :  CORRECTION(A), MW=WILTAB
071 upacArakaraRaM -> upacArakaraRa :  CORRECTION(A), MW=*
072 upasarjanaM -> upasarjana :  CORRECTION(A), MW=*
073 karRaMveDa -> karRaveDa :  CORRECTION(A), MW=*
074 kartraM -> kartra :  CORRECTION(A), MW=*
075 kulaMBftyA -> kulaBftyA :  CORRECTION(A), MW=*
076 kfzRasarpaM -> kfzRasarpa :  CORRECTION(A), MW=*
077 keSapaMNkti -> keSapaNkti :  CORRECTION(A), MW=*
078 kORqinyaM -> kORqinya :  CORRECTION(A), MW=*
079 kzudraSIrzaM -> kzudraSIrza :  CORRECTION(A), MW=*
080 cAndrakaM -> cAndraka :  CORRECTION(A), MW=*
081 duzpraDarzaMRI -> duzpraDarzaRI :  CORRECTION(A), MW=*
082 nirGaMRwa -> nirGaRwa :  CORRECTION(A), MW=*
083 nUtanatvaM -> nUtanatva :  CORRECTION(A), MW=*
084 pOnaHpunyaM -> pOnaHpunya :  CORRECTION(A), MW=*
085 mAMkanda -> mAkanda :  CORRECTION(A), MW=*
086 varutraM -> varutra :  CORRECTION(A), MW=*
087 huqukkaM -> huqukka :  CORRECTION(A), MW=*
